ID,Character,Date,Day,Moment,Tag,Sentiment,Line,CharLimit,Source,Notes
AD-PSYCHIC,Psychic,0,,NewspaperAd,,,"I already know you're going to call. Tarot reader, incense enthusiast, lava lamp collector. Looking for someone comfortable in the dark.",136,characters.html,
,,,,,,,,,
# ============================================================,,,,,,,,,
# PARIS DATE 1 (The Easy One / guaranteeFlower = true),,,,,,,,,
# ============================================================,,,,,,,,,
P1-E1,Paris,1,,E1-NoMusic,,,It's really quiet?,36,paris-dates.html,
P1-E2-LIKE,Paris,1,,E2-MusicJudge,,Like,I love this song!,26,paris-dates.html,
P1-E2-NEUTRAL,Paris,1,,E2-MusicJudge,,Neutral,It's not what I'd pick.,23,paris-dates.html,
P1-E2-DISLIKE,Paris,1,,E2-MusicJudge,,Dislike,This isn't the right one.,26,paris-dates.html,
P1-E3,Paris,1,,E3-NoPerfume,,,The apartment smells like the apartment. That's fine.,55,paris-dates.html,
P1-E4-LIKE,Paris,1,,E4-PerfumeJudge,,Like,I can smell something. It's good.,34,paris-dates.html,
P1-E4-NEUTRAL,Paris,1,,E4-PerfumeJudge,,Neutral,It's faint.,12,paris-dates.html,
P1-E4-DISLIKE,Paris,1,,E4-PerfumeJudge,,Dislike,It's strong in here.,21,paris-dates.html,
P1-E5,Paris,1,,E5-DirtyArea,,,You've been busy with other things.,37,paris-dates.html,
P1-E6-LIKE,Paris,1,,E6-CleanJudge,,Like,You keep this place well.,26,paris-dates.html,
P1-E6-NEUTRAL,Paris,1,,E6-CleanJudge,,Neutral,It looks lived in.,19,paris-dates.html,
P1-E6-DISLIKE,Paris,1,,E6-CleanJudge,,Dislike,It could use a morning.,24,paris-dates.html,
P1-T1,Paris,1,,T1-PreKitchen,,,Should we get a drink?,23,paris-dates.html,
P1-K1,Paris,1,,K1-KitchenArrive,,,What do you have?,18,paris-dates.html,
P1-K3-LIKE,Paris,1,,K3-DrinkVerdict,,Like,You picked this for me.,24,paris-dates.html,
P1-K3-NEUTRAL,Paris,1,,K3-DrinkVerdict,,Neutral,It's drinkable.,16,paris-dates.html,
P1-K3-DISLIKE,Paris,1,,K3-DrinkVerdict,,Dislike,This isn't really mine.,24,paris-dates.html,
P1-T2,Paris,1,,T2-PostKitchen,,,I want to see the rest.,24,paris-dates.html,
P1-R-GROOVY,Paris,1,,R-ItemReact,groovy,Like,You take care of these.,24,paris-dates.html,
P1-R-COTTAGE1,Paris,1,,R-ItemReact,cottage,Like,This one is doing well.,24,paris-dates.html,plant
P1-R-COTTAGE2,Paris,1,,R-ItemReact,cottage,Like,I almost want to pick this up.,31,paris-dates.html,
P1-R-COTTAGE3,Paris,1,,R-ItemReact,cottage,Like,Have you finished this one?,28,paris-dates.html,book
P1-R-COTTAGE4,Paris,1,,R-ItemReact,cottage,Like,You have taste.,16,paris-dates.html,
P1-R-WEEB,Paris,1,,R-ItemReact,weeb,Dislike,Hmm.,4,paris-dates.html,silence is the point
P1-R-RESONAL,Paris,1,,R-ItemReact,resonal,Like,My ex loved photography.,25,paris-dates.html,
P1-R-COTTAGE-N,Paris,1,,R-ItemReact,cottage,Neutral,It needs water.,16,paris-dates.html,neglected plant
P1-GEN-LIKE1,Paris,1,,R-GenericReact,,Like,It has charm.,14,paris-dates.html,
P1-GEN-LIKE2,Paris,1,,R-GenericReact,,Like,I see why you keep this.,25,paris-dates.html,
P1-GEN-NEUTRAL1,Paris,1,,R-GenericReact,,Neutral,Sure.,5,paris-dates.html,
P1-GEN-NEUTRAL2,Paris,1,,R-GenericReact,,Neutral,It's here.,11,paris-dates.html,
P1-GEN-DISLIKE1,Paris,1,,R-GenericReact,,Dislike,"It's ugly, but it has charm.",29,paris-dates.html,
P1-GEN-DISLIKE2,Paris,1,,R-GenericReact,,Dislike,Not for me.,12,paris-dates.html,
P1-F1-A,Paris,1,,F1-FarewellHigh,,,I'll think about this place.,28,paris-dates.html,
P1-F1-B,Paris,1,,F1-FarewellHigh,,,Here. I brought you something.,31,paris-dates.html,Flower gift moment
P1-F2,Paris,1,,F2-FarewellLow,,,Goodnight. I hope the plants are okay.,40,paris-dates.html,
,,,,,,,,,
# ============================================================,,,,,,,,,
# PARIS DATE 2 (She Notices You Prepared),,,,,,,,,
# ============================================================,,,,,,,,,
P2-E1,Paris,2,,E1-NoMusic,,,Still quiet.,12,paris-dates.html,Implies she remembers Date 1
P2-E2-LIKE,Paris,2,,E2-MusicJudge,,Like,You kept this one on.,22,paris-dates.html,
P2-E2-NEUTRAL,Paris,2,,E2-MusicJudge,,Neutral,Different this time.,21,paris-dates.html,
P2-E2-DISLIKE,Paris,2,,E2-MusicJudge,,Dislike,You changed the music.,23,paris-dates.html,
P2-E3,Paris,2,,E3-NoPerfume,,,Still just the apartment.,26,paris-dates.html,
P2-E4-LIKE,Paris,2,,E4-PerfumeJudge,,Like,You remembered.,16,paris-dates.html,
P2-E4-NEUTRAL,Paris,2,,E4-PerfumeJudge,,Neutral,Something different.,21,paris-dates.html,
P2-E4-DISLIKE,Paris,2,,E4-PerfumeJudge,,Dislike,It's more this time.,21,paris-dates.html,
P2-E5,Paris,2,,E5-DirtyArea,,,Some things haven't changed.,29,paris-dates.html,
P2-E6-LIKE,Paris,2,,E6-CleanJudge,,Like,You've been taking care of this.,33,paris-dates.html,
P2-E6-NEUTRAL,Paris,2,,E6-CleanJudge,,Neutral,It's about the same.,21,paris-dates.html,
P2-E6-DISLIKE,Paris,2,,E6-CleanJudge,,Dislike,I thought you'd have time.,27,paris-dates.html,
P2-T1,Paris,2,,T1-PreKitchen,,,Same kitchen?,14,paris-dates.html,
P2-K1,Paris,2,,K1-KitchenArrive,,,I know what you have now.,25,paris-dates.html,
P2-K3-LIKE1,Paris,2,,K3-DrinkVerdict,,Like,Better than last time.,23,paris-dates.html,
P2-K3-LIKE2,Paris,2,,K3-DrinkVerdict,,Like,You learned.,13,paris-dates.html,
P2-K3-NEUTRAL,Paris,2,,K3-DrinkVerdict,,Neutral,The same one.,14,paris-dates.html,
P2-K3-DISLIKE,Paris,2,,K3-DrinkVerdict,,Dislike,We'll keep trying.,19,paris-dates.html,
P2-T2,Paris,2,,T2-PostKitchen,,,Show me what's changed.,23,paris-dates.html,
P2-R-GROOVY,Paris,2,,R-ItemReact,groovy,Like,I knew you'd keep this one.,28,paris-dates.html,
P2-R-COTTAGE1,Paris,2,,R-ItemReact,cottage,Like,The plants are doing well.,27,paris-dates.html,
P2-R-COTTAGE2,Paris,2,,R-ItemReact,cottage,Like,You've been watering.,22,paris-dates.html,
P2-R-COTTAGE3,Paris,2,,R-ItemReact,cottage,Like,Did you finish it?,19,paris-dates.html,book
P2-R-COTTAGE4,Paris,2,,R-ItemReact,cottage,Like,You remembered this.,21,paris-dates.html,
P2-R-WEEB,Paris,2,,R-ItemReact,weeb,Dislike,Still here.,12,paris-dates.html,
P2-R-GAMER1,Paris,2,,R-ItemReact,gamer,,,,Secondary hint: warmer than expected reaction to gamer item
P2-R-COTTAGE-N,Paris,2,,R-ItemReact,cottage,Neutral,This one needed more water.,28,paris-dates.html,neglected plant
P2-F1-A,Paris,2,,F1-FarewellHigh,,,This feels different the second time.,37,paris-dates.html,
P2-F1-B,Paris,2,,F1-FarewellHigh,,,I found another one. It reminded me of last time.,51,paris-dates.html,Flower gift moment
P2-F2,Paris,2,,F2-FarewellLow,,,I hoped it would be different.,31,paris-dates.html,
,,,,,,,,,
# ============================================================,,,,,,,,,
# PARIS DATE 3 (Something She Leaves Behind — SECONDARY: gamer),,,,,,,,,
# ============================================================,,,,,,,,,
P3-E1,Paris,3,,E1-NoMusic,,,I know.,7,paris-dates.html,She expected it
P3-E2-LIKE,Paris,3,,E2-MusicJudge,,Like,This is the right one.,23,paris-dates.html,
P3-E2-NEUTRAL,Paris,3,,E2-MusicJudge,,Neutral,You're still deciding.,23,paris-dates.html,
P3-E2-DISLIKE,Paris,3,,E2-MusicJudge,,Dislike,Not this one.,14,paris-dates.html,
P3-E3,Paris,3,,E3-NoPerfume,,,Just the apartment. I like the apartment.,43,paris-dates.html,
P3-E4-LIKE,Paris,3,,E4-PerfumeJudge,,Like,This is yours now.,19,paris-dates.html,
P3-E4-NEUTRAL,Paris,3,,E4-PerfumeJudge,,Neutral,Still trying things.,21,paris-dates.html,
P3-E4-DISLIKE,Paris,3,,E4-PerfumeJudge,,Dislike,Too much again.,16,paris-dates.html,
P3-E5,Paris,3,,E5-DirtyArea,,,You've had a lot to take care of.,34,paris-dates.html,
P3-E6-LIKE,Paris,3,,E6-CleanJudge,,Like,You keep doing this.,21,paris-dates.html,
P3-E6-NEUTRAL,Paris,3,,E6-CleanJudge,,Neutral,It's lived in.,15,paris-dates.html,
P3-E6-DISLIKE,Paris,3,,E6-CleanJudge,,Dislike,There's a lot here now.,24,paris-dates.html,
P3-T1,Paris,3,,T1-PreKitchen,,,Shall we?,10,paris-dates.html,
P3-K1,Paris,3,,K1-KitchenArrive,,,Make me the same one.,21,paris-dates.html,
P3-K3-LIKE,Paris,3,,K3-DrinkVerdict,,Like,Yes.,4,paris-dates.html,
P3-K3-NEUTRAL,Paris,3,,K3-DrinkVerdict,,Neutral,Close.,6,paris-dates.html,
P3-K3-DISLIKE,Paris,3,,K3-DrinkVerdict,,Dislike,Not the one I meant.,21,paris-dates.html,
P3-T2,Paris,3,,T2-PostKitchen,,,I want to sit with the plants.,31,paris-dates.html,
P3-R-GROOVY,Paris,3,,R-ItemReact,groovy,Like,This one is ours.,18,paris-dates.html,
P3-R-COTTAGE1,Paris,3,,R-ItemReact,cottage,Like,They've been here a while.,27,paris-dates.html,
P3-R-COTTAGE2,Paris,3,,R-ItemReact,cottage,Like,You've kept them all.,22,paris-dates.html,
P3-R-COTTAGE3,Paris,3,,R-ItemReact,cottage,Like,I know this shelf now.,22,paris-dates.html,book
P3-R-COTTAGE4,Paris,3,,R-ItemReact,cottage,Like,Of course.,10,paris-dates.html,
P3-R-WEEB,Paris,3,,R-ItemReact,weeb,Dislike,,0,paris-dates.html,silence — no line
P3-R-GAMER1,Paris,3,,R-ItemReact,gamer,Like,,,,Date 3 secondary: she opens up about gamer items
P3-R-GAMER2,Paris,3,,R-ItemReact,gamer,Like,,,,Date 3 secondary: another gamer reaction
P3-F1,Paris,3,,F1-FarewellHigh,,,I'll think about the plants.,28,paris-dates.html,Sets rose on table without comment
P3-F2,Paris,3,,F2-FarewellLow,,,I wanted this to work.,22,paris-dates.html,
,,,,,,,,,
# ============================================================,,,,,,,,,
# SOPHIE DATE 1 (Primary: groovy),,,,,,,,,
# ============================================================,,,,,,,,,
S1-E1,Sophie,1,,E1-NoMusic,,,,,
S1-E2-LIKE,Sophie,1,,E2-MusicJudge,,Like,,,
S1-E2-NEUTRAL,Sophie,1,,E2-MusicJudge,,Neutral,,,
S1-E2-DISLIKE,Sophie,1,,E2-MusicJudge,,Dislike,,,
S1-E3,Sophie,1,,E3-NoPerfume,,,,,
S1-E4-LIKE,Sophie,1,,E4-PerfumeJudge,,Like,,,
S1-E4-NEUTRAL,Sophie,1,,E4-PerfumeJudge,,Neutral,,,
S1-E4-DISLIKE,Sophie,1,,E4-PerfumeJudge,,Dislike,,,
S1-E5,Sophie,1,,E5-DirtyArea,,,,,
S1-E6-LIKE,Sophie,1,,E6-CleanJudge,,Like,,,
S1-E6-NEUTRAL,Sophie,1,,E6-CleanJudge,,Neutral,,,
S1-E6-DISLIKE,Sophie,1,,E6-CleanJudge,,Dislike,,,
S1-T1,Sophie,1,,T1-PreKitchen,,,,,
S1-K1,Sophie,1,,K1-KitchenArrive,,,,,
S1-K3-LIKE,Sophie,1,,K3-DrinkVerdict,,Like,,,
S1-K3-NEUTRAL,Sophie,1,,K3-DrinkVerdict,,Neutral,,,
S1-K3-DISLIKE,Sophie,1,,K3-DrinkVerdict,,Dislike,,,
S1-T2,Sophie,1,,T2-PostKitchen,,,,,
S1-R-GROOVY1,Sophie,1,,R-ItemReact,groovy,Like,,,Primary like
S1-R-GROOVY2,Sophie,1,,R-ItemReact,groovy,Like,,,
S1-R-CAREER,Sophie,1,,R-ItemReact,career,Dislike,,,Hated category
S1-R-RESONAL,Sophie,1,,R-ItemReact,resonal,,,,
S1-GEN-LIKE1,Sophie,1,,R-GenericReact,,Like,,,
S1-GEN-LIKE2,Sophie,1,,R-GenericReact,,Like,,,
S1-GEN-NEUTRAL1,Sophie,1,,R-GenericReact,,Neutral,,,
S1-GEN-NEUTRAL2,Sophie,1,,R-GenericReact,,Neutral,,,
S1-GEN-DISLIKE1,Sophie,1,,R-GenericReact,,Dislike,,,
S1-GEN-DISLIKE2,Sophie,1,,R-GenericReact,,Dislike,,,
S1-F1-A,Sophie,1,,F1-FarewellHigh,,,,,
S1-F1-B,Sophie,1,,F1-FarewellHigh,,,,,Flower gift moment
S1-F2,Sophie,1,,F2-FarewellLow,,,,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# SOPHIE DATE 2 (Secondary hints: shredder),,,,,,,,,
# ============================================================,,,,,,,,,
S2-E1,Sophie,2,,E1-NoMusic,,,,,
S2-E2-LIKE,Sophie,2,,E2-MusicJudge,,Like,,,
S2-E2-NEUTRAL,Sophie,2,,E2-MusicJudge,,Neutral,,,
S2-E2-DISLIKE,Sophie,2,,E2-MusicJudge,,Dislike,,,
S2-E3,Sophie,2,,E3-NoPerfume,,,,,
S2-E4-LIKE,Sophie,2,,E4-PerfumeJudge,,Like,,,
S2-E4-NEUTRAL,Sophie,2,,E4-PerfumeJudge,,Neutral,,,
S2-E4-DISLIKE,Sophie,2,,E4-PerfumeJudge,,Dislike,,,
S2-E5,Sophie,2,,E5-DirtyArea,,,,,
S2-E6-LIKE,Sophie,2,,E6-CleanJudge,,Like,,,
S2-E6-NEUTRAL,Sophie,2,,E6-CleanJudge,,Neutral,,,
S2-E6-DISLIKE,Sophie,2,,E6-CleanJudge,,Dislike,,,
S2-T1,Sophie,2,,T1-PreKitchen,,,,,
S2-K1,Sophie,2,,K1-KitchenArrive,,,,,
S2-K3-LIKE,Sophie,2,,K3-DrinkVerdict,,Like,,,
S2-K3-NEUTRAL,Sophie,2,,K3-DrinkVerdict,,Neutral,,,
S2-K3-DISLIKE,Sophie,2,,K3-DrinkVerdict,,Dislike,,,
S2-T2,Sophie,2,,T2-PostKitchen,,,,,
S2-R-GROOVY1,Sophie,2,,R-ItemReact,groovy,Like,,,
S2-R-SHREDDER1,Sophie,2,,R-ItemReact,shredder,,,,Secondary hint: unexpected warm reaction
S2-R-CAREER,Sophie,2,,R-ItemReact,career,Dislike,,,
S2-GEN-LIKE1,Sophie,2,,R-GenericReact,,Like,,,
S2-GEN-NEUTRAL1,Sophie,2,,R-GenericReact,,Neutral,,,
S2-GEN-DISLIKE1,Sophie,2,,R-GenericReact,,Dislike,,,
S2-F1-A,Sophie,2,,F1-FarewellHigh,,,,,
S2-F1-B,Sophie,2,,F1-FarewellHigh,,,,,Flower gift moment
S2-F2,Sophie,2,,F2-FarewellLow,,,,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# SOPHIE DATE 3 (Secondary: shredder),,,,,,,,,
# ============================================================,,,,,,,,,
S3-E1,Sophie,3,,E1-NoMusic,,,,,
S3-E2-LIKE,Sophie,3,,E2-MusicJudge,,Like,,,
S3-E2-NEUTRAL,Sophie,3,,E2-MusicJudge,,Neutral,,,
S3-E2-DISLIKE,Sophie,3,,E2-MusicJudge,,Dislike,,,
S3-E3,Sophie,3,,E3-NoPerfume,,,,,
S3-E4-LIKE,Sophie,3,,E4-PerfumeJudge,,Like,,,
S3-E4-NEUTRAL,Sophie,3,,E4-PerfumeJudge,,Neutral,,,
S3-E4-DISLIKE,Sophie,3,,E4-PerfumeJudge,,Dislike,,,
S3-E5,Sophie,3,,E5-DirtyArea,,,,,
S3-E6-LIKE,Sophie,3,,E6-CleanJudge,,Like,,,
S3-E6-NEUTRAL,Sophie,3,,E6-CleanJudge,,Neutral,,,
S3-E6-DISLIKE,Sophie,3,,E6-CleanJudge,,Dislike,,,
S3-T1,Sophie,3,,T1-PreKitchen,,,,,
S3-K1,Sophie,3,,K1-KitchenArrive,,,,,
S3-K3-LIKE,Sophie,3,,K3-DrinkVerdict,,Like,,,
S3-K3-NEUTRAL,Sophie,3,,K3-DrinkVerdict,,Neutral,,,
S3-K3-DISLIKE,Sophie,3,,K3-DrinkVerdict,,Dislike,,,
S3-T2,Sophie,3,,T2-PostKitchen,,,,,
S3-R-SHREDDER1,Sophie,3,,R-ItemReact,shredder,Like,,,Date 3 secondary: she opens up
S3-R-SHREDDER2,Sophie,3,,R-ItemReact,shredder,Like,,,
S3-R-GROOVY1,Sophie,3,,R-ItemReact,groovy,Like,,,Primary still works but less
S3-R-CAREER,Sophie,3,,R-ItemReact,career,Dislike,,,
S3-F1,Sophie,3,,F1-FarewellHigh,,,,,
S3-F2,Sophie,3,,F2-FarewellLow,,,,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# STERLING DATE 1 (Primary: career),,,,,,,,,
# ============================================================,,,,,,,,,
ST1-E1,Sterling,1,,E1-NoMusic,,,,,
ST1-E2-LIKE,Sterling,1,,E2-MusicJudge,,Like,,,
ST1-E2-NEUTRAL,Sterling,1,,E2-MusicJudge,,Neutral,,,
ST1-E2-DISLIKE,Sterling,1,,E2-MusicJudge,,Dislike,,,
ST1-E3,Sterling,1,,E3-NoPerfume,,,,,
ST1-E4-LIKE,Sterling,1,,E4-PerfumeJudge,,Like,,,
ST1-E4-NEUTRAL,Sterling,1,,E4-PerfumeJudge,,Neutral,,,
ST1-E4-DISLIKE,Sterling,1,,E4-PerfumeJudge,,Dislike,,,
ST1-E5,Sterling,1,,E5-DirtyArea,,,,,
ST1-E6-LIKE,Sterling,1,,E6-CleanJudge,,Like,,,
ST1-E6-NEUTRAL,Sterling,1,,E6-CleanJudge,,Neutral,,,
ST1-E6-DISLIKE,Sterling,1,,E6-CleanJudge,,Dislike,,,
ST1-T1,Sterling,1,,T1-PreKitchen,,,,,
ST1-K1,Sterling,1,,K1-KitchenArrive,,,,,
ST1-K3-LIKE,Sterling,1,,K3-DrinkVerdict,,Like,,,
ST1-K3-NEUTRAL,Sterling,1,,K3-DrinkVerdict,,Neutral,,,
ST1-K3-DISLIKE,Sterling,1,,K3-DrinkVerdict,,Dislike,,,
ST1-T2,Sterling,1,,T2-PostKitchen,,,,,
ST1-R-CAREER1,Sterling,1,,R-ItemReact,career,Like,,,Primary like
ST1-R-CAREER2,Sterling,1,,R-ItemReact,career,Like,,,
ST1-R-GAMER,Sterling,1,,R-ItemReact,gamer,Dislike,,,Hated category
ST1-R-RESONAL,Sterling,1,,R-ItemReact,resonal,,,,
ST1-GEN-LIKE1,Sterling,1,,R-GenericReact,,Like,,,
ST1-GEN-LIKE2,Sterling,1,,R-GenericReact,,Like,,,
ST1-GEN-NEUTRAL1,Sterling,1,,R-GenericReact,,Neutral,,,
ST1-GEN-NEUTRAL2,Sterling,1,,R-GenericReact,,Neutral,,,
ST1-GEN-DISLIKE1,Sterling,1,,R-GenericReact,,Dislike,,,
ST1-GEN-DISLIKE2,Sterling,1,,R-GenericReact,,Dislike,,,
ST1-F1-A,Sterling,1,,F1-FarewellHigh,,,,,
ST1-F1-B,Sterling,1,,F1-FarewellHigh,,,,,Flower gift moment
ST1-F2,Sterling,1,,F2-FarewellLow,,,,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# STERLING DATE 2 (Secondary hints: nurturer),,,,,,,,,
# ============================================================,,,,,,,,,
ST2-E1,Sterling,2,,E1-NoMusic,,,,,
ST2-E2-LIKE,Sterling,2,,E2-MusicJudge,,Like,,,
ST2-E2-NEUTRAL,Sterling,2,,E2-MusicJudge,,Neutral,,,
ST2-E2-DISLIKE,Sterling,2,,E2-MusicJudge,,Dislike,,,
ST2-E3,Sterling,2,,E3-NoPerfume,,,,,
ST2-E4-LIKE,Sterling,2,,E4-PerfumeJudge,,Like,,,
ST2-E4-NEUTRAL,Sterling,2,,E4-PerfumeJudge,,Neutral,,,
ST2-E4-DISLIKE,Sterling,2,,E4-PerfumeJudge,,Dislike,,,
ST2-E5,Sterling,2,,E5-DirtyArea,,,,,
ST2-E6-LIKE,Sterling,2,,E6-CleanJudge,,Like,,,
ST2-E6-NEUTRAL,Sterling,2,,E6-CleanJudge,,Neutral,,,
ST2-E6-DISLIKE,Sterling,2,,E6-CleanJudge,,Dislike,,,
ST2-T1,Sterling,2,,T1-PreKitchen,,,,,
ST2-K1,Sterling,2,,K1-KitchenArrive,,,,,
ST2-K3-LIKE,Sterling,2,,K3-DrinkVerdict,,Like,,,
ST2-K3-NEUTRAL,Sterling,2,,K3-DrinkVerdict,,Neutral,,,
ST2-K3-DISLIKE,Sterling,2,,K3-DrinkVerdict,,Dislike,,,
ST2-T2,Sterling,2,,T2-PostKitchen,,,,,
ST2-R-CAREER1,Sterling,2,,R-ItemReact,career,Like,,,
ST2-R-NURTURER1,Sterling,2,,R-ItemReact,nurturer,,,,Secondary hint: unexpected warmth
ST2-R-GAMER,Sterling,2,,R-ItemReact,gamer,Dislike,,,
ST2-GEN-LIKE1,Sterling,2,,R-GenericReact,,Like,,,
ST2-GEN-NEUTRAL1,Sterling,2,,R-GenericReact,,Neutral,,,
ST2-GEN-DISLIKE1,Sterling,2,,R-GenericReact,,Dislike,,,
ST2-F1-A,Sterling,2,,F1-FarewellHigh,,,,,
ST2-F1-B,Sterling,2,,F1-FarewellHigh,,,,,Flower gift moment
ST2-F2,Sterling,2,,F2-FarewellLow,,,,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# STERLING DATE 3 (Secondary: nurturer),,,,,,,,,
# ============================================================,,,,,,,,,
ST3-E1,Sterling,3,,E1-NoMusic,,,,,
ST3-E2-LIKE,Sterling,3,,E2-MusicJudge,,Like,,,
ST3-E2-NEUTRAL,Sterling,3,,E2-MusicJudge,,Neutral,,,
ST3-E2-DISLIKE,Sterling,3,,E2-MusicJudge,,Dislike,,,
ST3-E3,Sterling,3,,E3-NoPerfume,,,,,
ST3-E4-LIKE,Sterling,3,,E4-PerfumeJudge,,Like,,,
ST3-E4-NEUTRAL,Sterling,3,,E4-PerfumeJudge,,Neutral,,,
ST3-E4-DISLIKE,Sterling,3,,E4-PerfumeJudge,,Dislike,,,
ST3-E5,Sterling,3,,E5-DirtyArea,,,,,
ST3-E6-LIKE,Sterling,3,,E6-CleanJudge,,Like,,,
ST3-E6-NEUTRAL,Sterling,3,,E6-CleanJudge,,Neutral,,,
ST3-E6-DISLIKE,Sterling,3,,E6-CleanJudge,,Dislike,,,
ST3-T1,Sterling,3,,T1-PreKitchen,,,,,
ST3-K1,Sterling,3,,K1-KitchenArrive,,,,,
ST3-K3-LIKE,Sterling,3,,K3-DrinkVerdict,,Like,,,
ST3-K3-NEUTRAL,Sterling,3,,K3-DrinkVerdict,,Neutral,,,
ST3-K3-DISLIKE,Sterling,3,,K3-DrinkVerdict,,Dislike,,,
ST3-T2,Sterling,3,,T2-PostKitchen,,,,,
ST3-R-NURTURER1,Sterling,3,,R-ItemReact,nurturer,Like,,,Date 3 secondary: he opens up
ST3-R-NURTURER2,Sterling,3,,R-ItemReact,nurturer,Like,,,
ST3-R-CAREER1,Sterling,3,,R-ItemReact,career,Like,,,Primary still works but less
ST3-R-GAMER,Sterling,3,,R-ItemReact,gamer,Dislike,,,
ST3-F1,Sterling,3,,F1-FarewellHigh,,,,,
ST3-F2,Sterling,3,,F2-FarewellLow,,,,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# CORE FALLBACK REACTIONS (all characters),,,,,,,,,
# ============================================================,,,,,,,,,
CORE-REACT-LIKE1,_Fallback,All,,R-ItemReact,,Like,Loves it!,9,,
CORE-REACT-LIKE2,_Fallback,All,,R-ItemReact,,Like,Really into this!,17,,
CORE-REACT-LIKE3,_Fallback,All,,R-ItemReact,,Like,Great taste!,12,,
CORE-REACT-NEUTRAL1,_Fallback,All,,R-ItemReact,,Neutral,"Hmm, okay.",11,,
CORE-REACT-NEUTRAL2,_Fallback,All,,R-ItemReact,,Neutral,Not bad.,8,,
CORE-REACT-NEUTRAL3,_Fallback,All,,R-ItemReact,,Neutral,Sure.,5,,
CORE-REACT-DISLIKE1,_Fallback,All,,R-ItemReact,,Dislike,Not a fan...,11,,
CORE-REACT-DISLIKE2,_Fallback,All,,R-ItemReact,,Dislike,Yikes.,6,,
CORE-REACT-DISLIKE3,_Fallback,All,,R-ItemReact,,Dislike,Hard pass.,10,,
,,,,,,,,,
# ============================================================,,,,,,,,,
# CORE ENTRANCE JUDGMENT,,,,,,,,,
# ============================================================,,,,,,,,,
CORE-E1-1,_Fallback,All,,E1-NoMusic,,,Oh... no music?,14,,
CORE-E1-2,_Fallback,All,,E1-NoMusic,,,It's quiet in here...,21,,
CORE-E1-3,_Fallback,All,,E1-NoMusic,,,Why aren't we listening to music?,32,,
CORE-E5-KITCHEN1,_Fallback,All,,E5-DirtyArea,,,The kitchen could use some attention...,38,,
CORE-E5-KITCHEN2,_Fallback,All,,E5-DirtyArea,,,Is the kitchen always like this?,32,,
CORE-E5-KITCHEN3,_Fallback,All,,E5-DirtyArea,,,Maybe clean the kitchen sometime...,34,,
CORE-E5-LIVING1,_Fallback,All,,E5-DirtyArea,,,The living room is a bit messy...,32,,
CORE-E5-LIVING2,_Fallback,All,,E5-DirtyArea,,,You might want to tidy the living room.,39,,
CORE-E5-LIVING3,_Fallback,All,,E5-DirtyArea,,,The living room could use some love...,37,,
CORE-E5-ENTRANCE1,_Fallback,All,,E5-DirtyArea,,,The entrance is a mess...,24,,
CORE-E5-ENTRANCE2,_Fallback,All,,E5-DirtyArea,,,Your hallway could use some work.,32,,
CORE-E5-ENTRANCE3,_Fallback,All,,E5-DirtyArea,,,First impressions matter... the entrance...,42,,
