ID,Character,Date,Moment,Sentiment,Line,CharLimit,Source,Notes
P1-T2,Paris,1,T2-PostKitchen,,I want to see the rest.,24,paris-dates.html,
P1-R-GROOVY,Paris,1,R-ItemReact,Like,You take care of these.,24,paris-dates.html,Tag: groovy
P1-R-COTTAGE1,Paris,1,R-ItemReact,Like,This one is doing well.,24,paris-dates.html,Tag: cottage (plant)
P1-R-COTTAGE2,Paris,1,R-ItemReact,Like,I almost want to pick this up.,31,paris-dates.html,Tag: cottage
P1-R-COTTAGE3,Paris,1,R-ItemReact,Like,Have you finished this one?,28,paris-dates.html,Tag: cottage (book)
P1-R-COTTAGE4,Paris,1,R-ItemReact,Like,You have taste.,16,paris-dates.html,Tag: cottage
P1-R-WEEB,Paris,1,R-ItemReact,Dislike,Hmm.,4,paris-dates.html,Tag: weeb (silence is the point)
P1-R-PERSONAL,Paris,1,R-ItemReact,Like,My ex loved photography.,25,paris-dates.html,Tag: resonal
P1-R-COTTAGE-N,Paris,1,R-ItemReact,Neutral,It needs water.,16,paris-dates.html,Tag: cottage (neglected plant)
P1-GEN-LIKE1,Paris,1,R-GenericReact,Like,It has charm.,14,paris-dates.html,Per-character generic fallback
P1-GEN-LIKE2,Paris,1,R-GenericReact,Like,I see why you keep this.,25,paris-dates.html,Per-character generic fallback
P1-GEN-NEUTRAL1,Paris,1,R-GenericReact,Neutral,Sure.,5,paris-dates.html,Per-character generic fallback
P1-GEN-NEUTRAL2,Paris,1,R-GenericReact,Neutral,It's here.,11,paris-dates.html,Per-character generic fallback
P1-GEN-DISLIKE1,Paris,1,R-GenericReact,Dislike,"It's ugly, but it has charm.",29,paris-dates.html,Per-character generic fallback
P1-GEN-DISLIKE2,Paris,1,R-GenericReact,Dislike,Not for me.,12,paris-dates.html,Per-character generic fallback
P1-F1-A,Paris,1,F1-FarewellHigh,,I'll think about this place.,28,paris-dates.html,
P1-F1-B,Paris,1,F1-FarewellHigh,,Here. I brought you something.,31,paris-dates.html,Flower gift moment
P1-F2,Paris,1,F2-FarewellLow,,Goodnight. I hope the plants are okay.,40,paris-dates.html,
,,,,,,,,
# ============================================================,,,,,,,,
# PARIS DATE 2 (She Notices You Prepared),,,,,,,,
# ============================================================,,,,,,,,
P2-E1,Paris,2,E1-NoMusic,,Still quiet.,12,paris-dates.html,Implies she remembers Date 1
P2-E2-LIKE,Paris,2,E2-MusicJudge,Like,You kept this one on.,22,paris-dates.html,
P2-E2-NEUTRAL,Paris,2,E2-MusicJudge,Neutral,Different this time.,21,paris-dates.html,
P2-E2-DISLIKE,Paris,2,E2-MusicJudge,Dislike,You changed the music.,23,paris-dates.html,
P2-E3,Paris,2,E3-NoPerfume,,Still just the apartment.,26,paris-dates.html,
P2-E4-LIKE,Paris,2,E4-PerfumeJudge,Like,You remembered.,16,paris-dates.html,
P2-E4-NEUTRAL,Paris,2,E4-PerfumeJudge,Neutral,Something different.,21,paris-dates.html,
P2-E4-DISLIKE,Paris,2,E4-PerfumeJudge,Dislike,It's more this time.,21,paris-dates.html,
P2-E5,Paris,2,E5-DirtyArea,,Some things haven't changed.,29,paris-dates.html,
P2-E6-LIKE,Paris,2,E6-CleanJudge,Like,You've been taking care of this.,33,paris-dates.html,
P2-E6-NEUTRAL,Paris,2,E6-CleanJudge,Neutral,It's about the same.,21,paris-dates.html,
P2-E6-DISLIKE,Paris,2,E6-CleanJudge,Dislike,I thought you'd have time.,27,paris-dates.html,
P2-T1,Paris,2,T1-PreKitchen,,Same kitchen?,14,paris-dates.html,
P2-K1,Paris,2,K1-KitchenArrive,,I know what you have now.,25,paris-dates.html,
P2-K3-LIKE1,Paris,2,K3-DrinkVerdict,Like,Better than last time.,23,paris-dates.html,
P2-K3-LIKE2,Paris,2,K3-DrinkVerdict,Like,You learned.,13,paris-dates.html,
P2-K3-NEUTRAL,Paris,2,K3-DrinkVerdict,Neutral,The same one.,14,paris-dates.html,
P2-K3-DISLIKE,Paris,2,K3-DrinkVerdict,Dislike,We'll keep trying.,19,paris-dates.html,
P2-T2,Paris,2,T2-PostKitchen,,Show me what's changed.,23,paris-dates.html,
P2-R-GROOVY,Paris,2,R-ItemReact,Like,I knew you'd keep this one.,28,paris-dates.html,Tag: groovy
P2-R-COTTAGE1,Paris,2,R-ItemReact,Like,The plants are doing well.,27,paris-dates.html,Tag: cottage
P2-R-COTTAGE2,Paris,2,R-ItemReact,Like,You've been watering.,22,paris-dates.html,Tag: cottage
P2-R-COTTAGE3,Paris,2,R-ItemReact,Like,Did you finish it?,19,paris-dates.html,Tag: cottage (book)
P2-R-COTTAGE4,Paris,2,R-ItemReact,Like,You remembered this.,21,paris-dates.html,Tag: cottage
P2-R-WEEB,Paris,2,R-ItemReact,Dislike,Still here.,12,paris-dates.html,Tag: weeb
P2-R-COTTAGE-N,Paris,2,R-ItemReact,Neutral,This one needed more water.,28,paris-dates.html,Tag: cottage (neglected plant)
P2-F1-A,Paris,2,F1-FarewellHigh,,This feels different the second time.,37,paris-dates.html,
P2-F1-B,Paris,2,F1-FarewellHigh,,I found another one. It reminded me of last time.,51,paris-dates.html,Flower gift moment
P2-F2,Paris,2,F2-FarewellLow,,I hoped it would be different.,31,paris-dates.html,
,,,,,,,,
# ============================================================,,,,,,,,
# PARIS DATE 3 (Something She Leaves Behind),,,,,,,,
# ============================================================,,,,,,,,
P3-E1,Paris,3,E1-NoMusic,,I know.,7,paris-dates.html,She expected it
P3-E2-LIKE,Paris,3,E2-MusicJudge,Like,This is the right one.,23,paris-dates.html,
P3-E2-NEUTRAL,Paris,3,E2-MusicJudge,Neutral,You're still deciding.,23,paris-dates.html,
P3-E2-DISLIKE,Paris,3,E2-MusicJudge,Dislike,Not this one.,14,paris-dates.html,
P3-E3,Paris,3,E3-NoPerfume,,Just the apartment. I like the apartment.,43,paris-dates.html,
P3-E4-LIKE,Paris,3,E4-PerfumeJudge,Like,This is yours now.,19,paris-dates.html,
P3-E4-NEUTRAL,Paris,3,E4-PerfumeJudge,Neutral,Still trying things.,21,paris-dates.html,
P3-E4-DISLIKE,Paris,3,E4-PerfumeJudge,Dislike,Too much again.,16,paris-dates.html,
P3-E5,Paris,3,E5-DirtyArea,,You've had a lot to take care of.,34,paris-dates.html,
P3-E6-LIKE,Paris,3,E6-CleanJudge,Like,You keep doing this.,21,paris-dates.html,
P3-E6-NEUTRAL,Paris,3,E6-CleanJudge,Neutral,It's lived in.,15,paris-dates.html,
P3-E6-DISLIKE,Paris,3,E6-CleanJudge,Dislike,There's a lot here now.,24,paris-dates.html,
P3-T1,Paris,3,T1-PreKitchen,,Shall we?,10,paris-dates.html,
P3-K1,Paris,3,K1-KitchenArrive,,Make me the same one.,21,paris-dates.html,
P3-K3-LIKE,Paris,3,K3-DrinkVerdict,Like,Yes.,4,paris-dates.html,
P3-K3-NEUTRAL,Paris,3,K3-DrinkVerdict,Neutral,Close.,6,paris-dates.html,
P3-K3-DISLIKE,Paris,3,K3-DrinkVerdict,Dislike,Not the one I meant.,21,paris-dates.html,
P3-T2,Paris,3,T2-PostKitchen,,I want to sit with the plants.,31,paris-dates.html,
P3-R-GROOVY,Paris,3,R-ItemReact,Like,This one is ours.,18,paris-dates.html,Tag: groovy
P3-R-COTTAGE1,Paris,3,R-ItemReact,Like,They've been here a while.,27,paris-dates.html,Tag: cottage
P3-R-COTTAGE2,Paris,3,R-ItemReact,Like,You've kept them all.,22,paris-dates.html,Tag: cottage
P3-R-COTTAGE3,Paris,3,R-ItemReact,Like,I know this shelf now.,22,paris-dates.html,Tag: cottage (book)
P3-R-COTTAGE4,Paris,3,R-ItemReact,Like,Of course.,10,paris-dates.html,Tag: cottage
P3-R-WEEB,Paris,3,R-ItemReact,Dislike,,0,paris-dates.html,Tag: weeb (silence — no line)
P3-F1,Paris,3,F1-FarewellHigh,,I'll think about the plants.,28,paris-dates.html,Sets rose on table without comment
P3-F2,Paris,3,F2-FarewellLow,,I wanted this to work.,22,paris-dates.html,
,,,,,,,,
# ============================================================,,,,,,,,
# PARIS NEWSPAPER AD,,,,,,,,
# ============================================================,,,,,,,,
P-AD,Paris,0,NewspaperAd,,"F, 25, $2,000/mo. Seeking a lover to give me reasons to live, or move to Paris with and co-parent a cat.",104,characters.html,
,,,,,,,,
# ============================================================,,,,,,,,
# CORE HARDCODED FALLBACK REACTIONS (all characters),,,,,,,,
# ============================================================,,,,,,,,
CORE-REACT-LIKE1,_Fallback,All,R-ItemReact,Like,Loves it!,9,DateReactionUI.cs:44,Tone bible flags as too generic
CORE-REACT-LIKE2,_Fallback,All,R-ItemReact,Like,Really into this!,17,DateReactionUI.cs:44,Tone bible flags as too generic
CORE-REACT-LIKE3,_Fallback,All,R-ItemReact,Like,Great taste!,12,DateReactionUI.cs:44,Tone bible flags as too generic
CORE-REACT-NEUTRAL1,_Fallback,All,R-ItemReact,Neutral,"Hmm, okay.",11,DateReactionUI.cs:45,
CORE-REACT-NEUTRAL2,_Fallback,All,R-ItemReact,Neutral,Not bad.,8,DateReactionUI.cs:45,
CORE-REACT-NEUTRAL3,_Fallback,All,R-ItemReact,Neutral,Sure.,5,DateReactionUI.cs:45,
CORE-REACT-DISLIKE1,_Fallback,All,R-ItemReact,Dislike,Not a fan...,11,DateReactionUI.cs:46,
CORE-REACT-DISLIKE2,_Fallback,All,R-ItemReact,Dislike,Yikes.,6,DateReactionUI.cs:46,
CORE-REACT-DISLIKE3,_Fallback,All,R-ItemReact,Dislike,Hard pass.,10,DateReactionUI.cs:46,
,,,,,,,,
# ============================================================,,,,,,,,
# CORE ENTRANCE JUDGMENT (all characters),,,,,,,,
# ============================================================,,,,,,,,
CORE-E1-1,_Fallback,All,E1-NoMusic,,Oh... no music?,14,EntranceJudgmentSequence.cs:37,
CORE-E1-2,_Fallback,All,E1-NoMusic,,It's quiet in here...,21,EntranceJudgmentSequence.cs:38,
CORE-E1-3,_Fallback,All,E1-NoMusic,,Why aren't we listening to music?,32,EntranceJudgmentSequence.cs:39,
CORE-E5-KITCHEN1,_Fallback,All,E5-DirtyArea,,The kitchen could use some attention...,38,EntranceJudgmentSequence.cs:45,
CORE-E5-KITCHEN2,_Fallback,All,E5-DirtyArea,,Is the kitchen always like this?,32,EntranceJudgmentSequence.cs:46,
CORE-E5-KITCHEN3,_Fallback,All,E5-DirtyArea,,Maybe clean the kitchen sometime...,34,EntranceJudgmentSequence.cs:47,
CORE-E5-LIVING1,_Fallback,All,E5-DirtyArea,,The living room is a bit messy...,32,EntranceJudgmentSequence.cs:51,
CORE-E5-LIVING2,_Fallback,All,E5-DirtyArea,,You might want to tidy the living room.,39,EntranceJudgmentSequence.cs:52,
CORE-E5-LIVING3,_Fallback,All,E5-DirtyArea,,The living room could use some love...,37,EntranceJudgmentSequence.cs:53,
CORE-E5-ENTRANCE1,_Fallback,All,E5-DirtyArea,,The entrance is a mess...,24,EntranceJudgmentSequence.cs:57,
CORE-E5-ENTRANCE2,_Fallback,All,E5-DirtyArea,,Your hallway could use some work.,32,EntranceJudgmentSequence.cs:58,
CORE-E5-ENTRANCE3,_Fallback,All,E5-DirtyArea,,First impressions matter... the entrance...,42,EntranceJudgmentSequence.cs:59,
,,,,,,,,
# ============================================================,,,,,,,,
# CORE PHASE TRANSITIONS (all characters),,,,,,,,
# ============================================================,,,,,,,,
CORE-T1-1,_Fallback,All,T1-PreKitchen,,Why don't we go to the kitchen?,31,DateSessionManager.cs:290,
CORE-T1-2,_Fallback,All,T1-PreKitchen,,I could use a drink...,22,DateSessionManager.cs:290,
CORE-K1-1,_Fallback,All,K1-KitchenArrive,,Make me something good!,23,DateSessionManager.cs:291,
CORE-K1-2,_Fallback,All,K1-KitchenArrive,,What are you pouring?,21,DateSessionManager.cs:291,
CORE-T2-1,_Fallback,All,T2-PostKitchen,,Let's sit down for a bit.,25,DateSessionManager.cs:292,
CORE-T2-2,_Fallback,All,T2-PostKitchen,,Show me the living room!,24,DateSessionManager.cs:292,
,,,,,,,,
# ============================================================,,,,,,,,
# CORE PHASE TITLES,,,,,,,,
# ============================================================,,,,,,,,
CORE-TITLE-P1,_System,All,PhaseTitle,,Impressions,11,DateSessionManager.cs:552,
CORE-TITLE-P2,_System,All,PhaseTitle,,Drinks,6,DateSessionManager.cs:677,
CORE-TITLE-P3,_System,All,PhaseTitle,,Warming Up,10,DateSessionManager.cs:816,
,,,,,,,,
# ============================================================,,,,,,,,
# CORE DRINK REACTIONS (all characters),,,,,,,,
# ============================================================,,,,,,,,
CORE-DRINK-PERFECT1,_Fallback,All,K3-DrinkVerdict,Like,Poured beautifully.,19,ReactionEvaluator.cs:116,
CORE-DRINK-PERFECT2,_Fallback,All,K3-DrinkVerdict,Like,That's a perfect pour.,22,ReactionEvaluator.cs:116,
CORE-DRINK-GOOD1,_Fallback,All,K3-DrinkVerdict,Like,Nicely done.,12,ReactionEvaluator.cs:117,
CORE-DRINK-GOOD2,_Fallback,All,K3-DrinkVerdict,Like,That looks good.,16,ReactionEvaluator.cs:117,
CORE-DRINK-MEH1,_Fallback,All,K3-DrinkVerdict,Neutral,"Hmm, a bit uneven.",18,ReactionEvaluator.cs:118,
CORE-DRINK-MEH2,_Fallback,All,K3-DrinkVerdict,Neutral,This could use some work.,25,ReactionEvaluator.cs:118,
CORE-DRINK-BAD1,_Fallback,All,K3-DrinkVerdict,Dislike,This is... rough.,17,ReactionEvaluator.cs:119,
CORE-DRINK-BAD2,_Fallback,All,K3-DrinkVerdict,Dislike,Did you even try?,17,ReactionEvaluator.cs:119,
CORE-DRINK-INGLIKE,_Fallback,All,K3-DrinkVerdict,Like,"Ooh, I like what's in this.",27,ReactionEvaluator.cs:120,Liked ingredient
CORE-DRINK-INGDIS,_Fallback,All,K3-DrinkVerdict,Dislike,There's something in here I don't love.,38,ReactionEvaluator.cs:121,Disliked ingredient
CORE-DRINK-INGFAV,_Fallback,All,K3-DrinkVerdict,Like,You remembered my favorite!,27,ReactionEvaluator.cs:122,Special/fav ingredient
,,,,,,,,
# ============================================================,,,,,,,,
# CORE DATE SUSPENSE / VERDICT,,,,,,,,
# ============================================================,,,,,,,,
CORE-K2,_Fallback,All,K2-DrinkSuspense,,Hmm...,6,DateSessionManager.cs:2014,
CORE-SHOWME,_Fallback,All,R-RevealStart,,Show me what you've got!,24,DateSessionManager.cs:832,
CORE-LOVEIT,_Fallback,All,R-RevealEnd,Like,I love what you've done here.,29,DateSessionManager.cs:857,High affection
CORE-NOTBAD,_Fallback,All,R-RevealEnd,Neutral,Not bad... there's potential.,28,DateSessionManager.cs:859,Mid affection
CORE-WORKABLE,_Fallback,All,R-RevealEnd,Dislike,We can work on this...,21,DateSessionManager.cs:861,Low affection
,,,,,,,,
# ============================================================,,,,,,,,
# CORE FAREWELLS (all characters),,,,,,,,
# ============================================================,,,,,,,,
CORE-F1-A,_Fallback,All,F1-FarewellHigh,,I had a wonderful time...,24,DateSessionManager.cs:2253,
CORE-F1-B,_Fallback,All,F1-FarewellHigh,,Here... I brought you something.,31,DateSessionManager.cs:2255,Flower gift
CORE-F2,_Fallback,All,F2-FarewellLow,,Well... goodnight.,18,DateSessionManager.cs:2260,
,,,,,,,,
# ============================================================,,,,,,,,
# CORE DATE END GRADES,,,,,,,,
# ============================================================,,,,,,,,
CORE-GRADE-FAIL,_System,All,DateEnd,,They left early...,17,DateEndScreen.cs:86,
CORE-GRADE-S,_System,All,DateEnd,,A perfect connection! They'll definitely call back.,51,DateEndScreen.cs:87,
CORE-GRADE-A,_System,All,DateEnd,,A wonderful time together. Very promising!,42,DateEndScreen.cs:88,
CORE-GRADE-B,_System,All,DateEnd,,A pleasant evening. Room for improvement.,41,DateEndScreen.cs:89,
CORE-GRADE-C,_System,All,DateEnd,,An awkward date. Better luck next time.,38,DateEndScreen.cs:90,
CORE-GRADE-DF,_System,All,DateEnd,,That did not go well at all...,29,DateEndScreen.cs:91,
,,,,,,,,
# ============================================================,,,,,,,,
# CORE WEATHER DIALOGUE (Nema internal / ambient),,,,,,,,
# ============================================================,,,,,,,,
CORE-WX-CLEAR1,Nema,All,WeatherLine,,What a beautiful day...,22,NemaWeatherDialogue.cs:15,
CORE-WX-CLEAR2,Nema,All,WeatherLine,,The sun feels so nice.,22,NemaWeatherDialogue.cs:15,
CORE-WX-CLEAR3,Nema,All,WeatherLine,,Perfect weather for a date.,27,NemaWeatherDialogue.cs:15,
CORE-WX-CLEAR4,Nema,All,WeatherLine,,I love clear skies like this.,29,NemaWeatherDialogue.cs:15,
CORE-WX-OVER1,Nema,All,WeatherLine,,Feels cozy with those clouds.,29,NemaWeatherDialogue.cs:17,
CORE-WX-OVER2,Nema,All,WeatherLine,,I like this moody sky.,22,NemaWeatherDialogue.cs:17,
CORE-WX-OVER3,Nema,All,WeatherLine,,"Hmm, hope it doesn't rain.",27,NemaWeatherDialogue.cs:17,
CORE-WX-OVER4,Nema,All,WeatherLine,,Overcast days have a certain charm.,35,NemaWeatherDialogue.cs:17,
CORE-WX-RAIN1,Nema,All,WeatherLine,,I love the sound of rain.,25,NemaWeatherDialogue.cs:19,
CORE-WX-RAIN2,Nema,All,WeatherLine,,Rainy days are the best for staying in.,39,NemaWeatherDialogue.cs:19,
CORE-WX-RAIN3,Nema,All,WeatherLine,,Good thing we're inside.,24,NemaWeatherDialogue.cs:19,
CORE-WX-RAIN4,Nema,All,WeatherLine,,Rain makes everything feel so intimate.,38,NemaWeatherDialogue.cs:19,
CORE-WX-STORM1,Nema,All,WeatherLine,,"Wow, listen to that storm!",26,NemaWeatherDialogue.cs:21,
CORE-WX-STORM2,Nema,All,WeatherLine,,A little dramatic out there...,29,NemaWeatherDialogue.cs:21,
CORE-WX-STORM3,Nema,All,WeatherLine,,Storms make everything feel exciting.,36,NemaWeatherDialogue.cs:21,
CORE-WX-STORM4,Nema,All,WeatherLine,,I hope the power doesn't go out...,33,NemaWeatherDialogue.cs:21,
CORE-WX-SNOW1,Nema,All,WeatherLine,,Snow! It's so pretty.,21,NemaWeatherDialogue.cs:23,
CORE-WX-SNOW2,Nema,All,WeatherLine,,I want to go outside and play in it.,36,NemaWeatherDialogue.cs:23,
CORE-WX-SNOW3,Nema,All,WeatherLine,,Everything looks magical.,25,NemaWeatherDialogue.cs:23,
CORE-WX-SNOW4,Nema,All,WeatherLine,,Hot cocoa weather...,19,NemaWeatherDialogue.cs:23,
CORE-WX-FALL1,Nema,All,WeatherLine,,Autumn vibes... I love it.,25,NemaWeatherDialogue.cs:25,
CORE-WX-FALL2,Nema,All,WeatherLine,,Look at those leaves.,21,NemaWeatherDialogue.cs:25,
CORE-WX-FALL3,Nema,All,WeatherLine,,This is my favorite time of year.,32,NemaWeatherDialogue.cs:25,
CORE-WX-FALL4,Nema,All,WeatherLine,,The colors are gorgeous.,24,NemaWeatherDialogue.cs:25,
,,,,,,,,
# ============================================================,,,,,,,,
# CORE DREAM SCREEN,,,,,,,,
# ============================================================,,,,,,,,
CORE-DREAM1,_System,All,DreamScreen,,Nema drifts to sleep...,22,DreamScreen.cs:34,
CORE-DREAM2,_System,All,DreamScreen,,The apartment hums quietly...,28,DreamScreen.cs:35,
CORE-DREAM3,_System,All,DreamScreen,,Tomorrow is another day...,25,DreamScreen.cs:36,
CORE-DREAM4,_System,All,DreamScreen,,Dreams swirl in the dark...,27,DreamScreen.cs:37,
,,,,,,,,
# ============================================================,,,,,,,,
# CORE MISC UI / SYSTEM TEXT,,,,,,,,
# ============================================================,,,,,,,,
CORE-FLOWER-GIFT,_System,All,FlowerGift,,{characterName} gave you a flower!,34,FlowerGiftPresenter.cs:138,Template string
CORE-CLEAN1,_System,All,CleanReact,,Look at this place shine!,25,CleaningManager.cs:379,
CORE-CLEAN2,_System,All,CleanReact,,There much better!,18,CleaningManager.cs:397,
CORE-LOCK,_System,All,Interaction,,Hmm... guess it's locked.,25,DemoLock.cs:15,
CORE-BLANKET,_System,All,Interaction,,Something was underneath...,26,BlanketItem.cs:21,
CORE-BOOKFIND,_System,All,Interaction,,Something fell out of the books...,33,BookCollectionItem.cs:27,
CORE-FRIDGE-FULL,_System,All,Interaction,,No more space in the fridge.,28,FridgeController.cs:209,
CORE-NOROOM,_System,All,Interaction,,No room in here.,16,ObjectGrabber.cs:1400,
CORE-ENDTITLE,_System,All,EndScreen,,Thanks for Playing!,19,GameEndSummaryScreen.cs:85,
CORE-NODATES,_System,All,EndScreen,,No dates yet.,13,GameEndSummaryScreen.cs:85,
,,,,,,,,
# ============================================================,,,,,,,,
# CORE NEWSPAPER DEFAULTS,,,,,,,,
# ============================================================,,,,,,,,
CORE-PAPER-TITLE,_System,All,Newspaper,,The Daily Bloom,14,NewspaperPoolDefinition.cs:36,
CORE-PAPER-YOURAD,_System,All,Newspaper,,YOUR AD,7,NewspaperAdSlot.cs:280,Badge text
CORE-PAPER-NEMAD,Nema,All,Newspaper,,"Seeking beauty in the everyday. Loves flowers, quiet mornings, and sharp scissors.",82,NewspaperAdSlot.cs:280,Nema's personal ad
CORE-PAPER-DEFAULT,_Fallback,All,Newspaper,,Seeking someone who appreciates long walks and existential dread.,64,DatePersonalDefinition.cs:15,Default if no ad text set
CORE-PAPER-BIZNAME,_Fallback,All,Newspaper,,Local Business,14,CommercialAdDefinition.cs:8,Default commercial
CORE-PAPER-BIZTEXT,_Fallback,All,Newspaper,,Visit us today!,15,CommercialAdDefinition.cs:12,Default commercial
,,,,,,,,
# ============================================================,,,,,,,,
# ALL CHARACTER NEWSPAPER ADS (in-game versions),,,,,,,,
# ============================================================,,,,,,,,
AD-PARIS,Paris,0,NewspaperAd,,"F, 25, $2,000/mo. Seeking a lover to give me reasons to live, or move to Paris with and co-parent a cat.",104,characters.html,
AD-LIVII,Livii,0,NewspaperAd,,"I have strong opinions about what a room should smell like and I will tell you every single one. Vinyl collector, book thief, hopeless about flowers. Mecha figures are a dealbreaker I will not apologize for.",207,characters.html,
AD-CLOVER,Clover,0,NewspaperAd,,"I cook from scratch, keep a peaceful home, and take pride in caring for my person. Soft, gentle, and a little catlike -- seeking someone who'll treat me accordingly.",165,characters.html,
AD-LILY,Lily,0,NewspaperAd,,"Gentle spirit with a pure heart. Allergic to drama, loves ponds and moonlight.",78,characters.html,
AD-SAGE,Sage,0,NewspaperAd,,"Single. Intuitive. Self-employed. I can sense you are reading this right now. You have been through a lot lately (haven't we all), and you sometimes overthink at night. There is a name that starts with a letter, and it still affects you. I'm feeling an upcoming change -- possibly travel, possibly a haircut.",305,characters.html,
AD-PSYCHIC,Psychic,0,NewspaperAd,,"I already know you're going to call. Tarot reader, incense enthusiast, lava lamp collector. Looking for someone comfortable in the dark.",136,characters.html,
AD-STERLING,Sterling,0,NewspaperAd,,"FINANCE GENT (proudly atypical), unmarried. Seeking wife, or partner to adore and spoil (ski trip on the table). Enjoys the classics: watches, gym, and whiskey. Confident he's a rare breed. Photo appreciated with reply.",220,characters.html,
